iter	Passed	Remaining
486	902	579
487	903	577
488	905	575
489	907	573
490	908	572
491	910	569
492	911	567
493	913	565
494	915	564
495	917	562
496	918	560
497	920	558
498	921	556
499	923	554
500	925	552
501	926	550
502	928	548
503	930	546
504	932	544
505	934	542
506	935	540
507	937	538
508	938	536
509	954	542
510	957	541
511	960	540
512	963	538
513	964	536
514	966	534
515	968	533
516	970	531
517	973	530
518	975	528
519	977	526
520	979	524
521	980	522
522	982	520
523	984	518
524	986	516
525	988	514
526	990	513
527	992	511
528	994	509
529	995	507
530	998	505
531	1000	503
532	1002	502
533	1004	500
534	1007	498
535	1012	498
536	1017	498
537	1019	496
538	1023	495
539	1025	493
540	1027	492
541	1029	490
542	1031	488
543	1032	486
544	1035	484
545	1037	482
546	1039	480
547	1040	478
548	1042	476
549	1044	474
550	1045	472
551	1047	470
552	1049	468
553	1052	467
554	1054	465
555	1056	463
556	1058	461
557	1060	459
558	1062	458
559	1064	456
560	1067	454
561	1069	452
562	1071	450
563	1072	448
564	1074	447
565	1076	445
566	1078	443
567	1080	441
568	1082	439
569	1083	437
570	1085	435
571	1087	433
572	1089	431
573	1091	429
574	1092	427
575	1094	425
576	1096	423
577	1098	422
578	1100	420
579	1102	418
580	1104	416
581	1106	414
582	1108	412
583	1110	410
584	1112	408
585	1114	406
586	1115	404
587	1117	403
588	1119	401
589	1121	399
590	1123	397
591	1125	395
592	1127	393
593	1129	391
594	1132	390
595	1134	388
596	1136	386
597	1138	384
598	1140	382
599	1142	380
600	1144	378
601	1146	376
602	1147	374
603	1149	373
604	1151	371
605	1153	369
606	1155	367
607	1156	365
608	1159	363
609	1161	361
610	1163	360
611	1165	358
612	1168	356
613	1169	354
614	1171	352
615	1174	350
616	1176	348
617	1178	346
618	1179	345
619	1181	343
620	1183	341
621	1185	339
622	1187	337
623	1188	335
624	1190	333
625	1192	331
626	1194	329
627	1196	327
628	1198	325
629	1199	323
630	1201	321
631	1203	319
632	1204	317
633	1207	316
634	1209	314
635	1210	312
636	1212	310
637	1214	308
638	1216	306
639	1217	304
640	1219	302
641	1222	300
642	1225	299
643	1228	297
644	1230	295
645	1232	293
646	1233	291
647	1235	289
648	1237	287
649	1239	286
650	1241	284
651	1242	282
652	1244	280
653	1247	278
654	1255	278
655	1257	276
656	1259	274
657	1265	273
658	1269	271
659	1276	270
660	1280	269
661	1283	267
662	1284	265
663	1287	263
664	1292	262
665	1295	260
666	1298	258
667	1301	257
668	1303	255
669	1306	253
670	1310	251
671	1312	249
672	1315	248
673	1320	246
674	1325	245
675	1331	244
676	1335	242
677	1338	240
678	1339	238
679	1341	236
680	1345	235
681	1347	233
682	1350	231
683	1353	229
684	1355	227
685	1357	225
686	1361	223
687	1364	222
688	1366	220
689	1368	218
690	1371	216
691	1373	214
692	1376	212
693	1378	210
694	1381	208
695	1383	206
696	1385	204
697	1388	202
698	1390	200
699	1392	198
700	1394	196
701	1396	195
702	1399	193
703	1401	191
704	1403	189
705	1406	187
706	1409	185
707	1411	183
708	1415	181
709	1418	179
710	1421	177
711	1424	176
712	1426	174
713	1428	172
714	1430	170
715	1432	168
716	1434	166
717	1438	164
718	1440	162
719	1444	160
720	1447	158
721	1452	156
722	1456	155
723	1459	153
724	1463	151
725	1469	149
726	1473	147
727	1474	145
728	1478	143
729	1480	141
730	1483	140
731	1489	138
732	1492	136
733	1494	134
734	1496	132
735	1498	130
736	1501	128
737	1504	126
738	1506	124
739	1509	122
740	1512	120
741	1516	118
742	1519	116
743	1521	114
744	1524	112
745	1526	110
746	1528	108
747	1530	106
748	1532	104
749	1534	102
750	1537	100
751	1539	98
752	1542	96
753	1544	94
754	1546	92
755	1549	90
756	1552	88
757	1554	86
758	1556	84
759	1560	82
760	1566	80
761	1570	78
762	1572	76
763	1576	74
764	1581	72
765	1583	70
766	1586	68
767	1589	66
768	1593	64
769	1596	62
770	1598	60
771	1600	58
772	1603	56
773	1605	53
774	1608	51
775	1611	49
776	1613	47
777	1615	45
778	1617	43
779	1620	41
780	1622	39
781	1624	37
782	1626	35
783	1629	33
784	1631	31
785	1634	29
786	1636	27
787	1638	24
788	1641	22
789	1644	20
790	1647	18
791	1649	16
792	1652	14
793	1654	12
794	1657	10
795	1660	8
796	1662	6
797	1664	4
798	1666	2
799	1668	0
