iter	Logloss
0	0.6763117981
1	0.6601532745
2	0.6453005981
3	0.6317412567
4	0.6175069427
5	0.6052031326
6	0.5938731384
7	0.5815746689
8	0.5709654236
9	0.5613468933
10	0.5520730591
11	0.5405974579
12	0.5330420303
13	0.525598526
14	0.5221344757
15	0.5143540192
16	0.5059968567
17	0.500079422
18	0.4937471008
19	0.488046608
20	0.4797299957
21	0.4734065247
22	0.4690982819
23	0.4653233337
24	0.4587552643
25	0.4541018295
26	0.449723053
27	0.4450209808
28	0.4406771851
29	0.4363848114
30	0.4326881409
31	0.4284150314
32	0.4246996689
33	0.4201551819
34	0.4154343414
35	0.4110362625
36	0.4066231537
37	0.403780365
38	0.3997770691
39	0.3959294891
40	0.3934931946
41	0.3904747772
42	0.3878193665
43	0.3848117828
44	0.3815161133
45	0.3787919617
46	0.3771977234
47	0.3746557236
48	0.3717828369
49	0.369059906
50	0.3670640945
51	0.3644062042
52	0.3609381104
53	0.3573434067
54	0.3551805115
55	0.3532720947
56	0.3494979095
57	0.3469387054
58	0.3451931763
59	0.3428508759
60	0.3406564713
61	0.3387572861
62	0.3358234406
63	0.3329700089
64	0.3311908722
65	0.3286834717
66	0.3268042755
67	0.3250361633
68	0.3236238861
69	0.3215931702
70	0.3195277596
71	0.3173535538
72	0.3152269745
73	0.3127113152
74	0.3098475838
75	0.3070340729
76	0.3051379776
77	0.3031258774
78	0.3015169716
79	0.2985652161
80	0.2963161469
81	0.2931502342
82	0.2904951859
83	0.28869133
84	0.2864612198
85	0.2844521523
86	0.283316803
87	0.2817648697
88	0.2804490471
89	0.2787660027
90	0.2773003387
91	0.2758003998
92	0.2743732071
93	0.2722337151
94	0.2702946472
95	0.2685516357
96	0.267143631
97	0.2654294586
98	0.263669281
99	0.2615786743
100	0.2599411392
101	0.2577747917
102	0.2560652924
103	0.2545190048
104	0.253359642
105	0.2515404129
106	0.2504227448
107	0.248760643
108	0.2476669502
109	0.246200161
110	0.2442133331
111	0.2429200363
112	0.2413912582
113	0.2396116257
